曲线名称	日期	3月	6月	1年	3年	5年	7年	10年	30年
中债国债收益率曲线	2019-01-09	2.3439	2.4000	2.3777	2.7604	2.8745	3.1010	3.1106	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-01-09	2.7525	3.0251	3.1007	3.4905	3.7413	3.9860	4.0580	4.4336
中债中短期票据收益率曲线(AAA)	2019-01-09	2.9116	3.1003	3.2719	3.5462	3.8031	4.0913	4.1659
中债国债收益率曲线	2019-01-08	2.3116	2.3501	2.3528	2.7530	2.8796	3.0836	3.1211	3.6757
中债商业银行普通债收益率曲线(AAA)	2019-01-08	2.8108	3.0244	3.1041	3.5235	3.7413	3.9909	4.0608	4.4365
中债中短期票据收益率曲线(AAA)	2019-01-08	2.9167	3.1454	3.3730	3.5836	3.8031	4.0962	4.1687
中债国债收益率曲线	2019-01-07	2.3409	2.4534	2.4026	2.7917	2.9303	3.1272	3.1507	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-01-07	2.7765	3.0899	3.1500	3.5638	3.7754	4.0310	4.1009	4.4715
中债中短期票据收益率曲线(AAA)	2019-01-07	2.9445	3.2007	3.3898	3.6213	3.8583	4.1363	4.2088
中债国债收益率曲线	2019-01-04	2.3251	2.4370	2.4525	2.7922	2.8850	3.1040	3.1513	3.7007
中债商业银行普通债收益率曲线(AAA)	2019-01-04	2.7335	3.1485	3.2246	3.5877	3.8290	4.0613	4.1312	4.5018
中债中短期票据收益率曲线(AAA)	2019-01-04	2.9511	3.2494	3.4344	3.6802	3.9119	4.1666	4.2391
中债国债收益率曲线	2019-01-03	2.4709	2.5001	2.5017	2.7776	2.8965	3.1031	3.1410	3.6806
中债商业银行普通债收益率曲线(AAA)	2019-01-03	2.6911	3.1265	3.2057	3.6319	3.8484	4.1062	4.1566	4.5272
中债中短期票据收益率曲线(AAA)	2019-01-03	2.9885	3.3525	3.4765	3.7244	3.9663	4.2115	4.2645
中债国债收益率曲线	2019-01-02	2.5237	2.5497	2.5014	2.7859	2.9466	3.0876	3.1734	3.6756
中债商业银行普通债收益率曲线(AAA)	2019-01-02	2.7541	3.0733	3.2938	3.6747	3.8834	4.1380	4.1884	4.5560
中债中短期票据收益率曲线(AAA)	2019-01-02	3.0217	3.3989	3.5089	3.7672	4.0013	4.2433	4.2963
中债国债收益率曲线	2018-12-31	2.6153	2.5919	2.6000	2.8688	2.9676	3.1641	3.2265	3.7056
中债商业银行普通债收益率曲线(AAA)	2018-12-31	2.9719	3.2576	3.3721	3.7010	3.9373	4.1536	4.2202	4.5918
中债中短期票据收益率曲线(AAA)	2018-12-31	3.1667	3.4647	3.5885	3.8135	4.0552	4.2589	4.3281
中债国债收益率曲线	2018-12-30	2.6153	2.5919	2.6000	2.8688	2.9676	3.1641	3.2265	3.7056
中债商业银行普通债收益率曲线(AAA)	2018-12-30	2.9719	3.2576	3.3721	3.7010	3.9373	4.1536	4.2202	4.5918
中债中短期票据收益率曲线(AAA)	2018-12-30	3.1667	3.4647	3.5885	3.8135	4.0552	4.2589	4.3281
中债国债收益率曲线	2018-12-29	2.6153	2.5919	2.6000	2.8688	2.9676	3.1641	3.2265	3.7056
中债商业银行普通债收益率曲线(AAA)	2018-12-29	2.9719	3.2576	3.3721	3.7010	3.9373	4.1536	4.2202	4.5918
中债中短期票据收益率曲线(AAA)	2018-12-29	3.1667	3.4647	3.5885	3.8135	4.0552	4.2589	4.3281
中债国债收益率曲线	2018-12-28	2.6263	2.5899	2.6030	2.8697	2.9614	3.1688	3.2315	3.7106
