date	value_zq	value_hs300
2015-06-17	1.348	2.0241
2015-06-18	1.346	1.9525
2015-06-19	1.345	1.8541
2015-06-23	1.346	1.9057
2015-06-24	1.347	1.9383
2015-06-25	1.347	1.8792
2015-06-26	1.345	1.7511
2015-06-29	1.346	1.7032
2015-06-30	1.345	1.801
2015-07-01	1.345	1.7259
2015-07-02	1.345	1.6737
2015-07-03	1.345	1.5991
2015-07-06	1.347	1.6365
2015-07-07	1.349	1.6089
2015-07-08	1.346	1.5046
2015-07-09	1.344	1.5958
2015-07-10	1.344	1.676
2015-07-13	1.344	1.719
2015-07-14	1.345	1.684
2015-07-15	1.344	1.6256
2015-07-16	1.344	1.6379
2015-07-17	1.345	1.6964
2015-07-20	1.346	1.7011
2015-07-21	1.348	1.7049
2015-07-22	1.349	1.7034
2015-07-23	1.35	1.7385
2015-07-24	1.352	1.7108
2015-07-27	1.353	1.5802
2015-07-28	1.354	1.574
2015-07-29	1.355	1.6194
2015-07-30	1.356	1.5781
2015-07-31	1.356	1.5772
2015-08-03	1.358	1.5791
2015-08-04	1.358	1.6239
2015-08-05	1.362	1.5954
2015-08-06	1.364	1.5827
2015-08-07	1.366	1.6104
2015-08-10	1.367	1.6732
2015-08-11	1.366	1.6675
2015-08-12	1.366	1.6487
2015-08-13	1.366	1.6713
2015-08-14	1.367	1.6712
2015-08-17	1.368	1.6742
2015-08-18	1.368	1.5811
2015-08-19	1.369	1.6043
2015-08-20	1.369	1.5595
2015-08-21	1.37	1.4971
2015-08-24	1.371	1.3829
2015-08-25	1.371	1.2964
2015-08-26	1.371	1.2881
2015-08-27	1.372	1.3525
2015-08-28	1.373	1.4027
2015-08-31	1.375	1.4102
2015-09-01	1.377	1.4048
2015-09-02	1.378	1.4047
2015-09-07	1.379	1.3662
2015-09-08	1.38	1.3973
2015-09-09	1.38	1.4216
2015-09-10	1.381	1.4078
2015-09-11	1.382	1.405
2015-09-14	1.383	1.3793
2015-09-15	1.383	1.3311
2015-09-16	1.385	1.3889
2015-09-17	1.385	1.3639
2015-09-18	1.386	1.3705
2015-09-21	1.386	1.3929
2015-09-22	1.386	1.4041
2015-09-23	1.386	1.3777
2015-09-24	1.386	1.3864
2015-09-25	1.387	1.3673
2015-09-28	1.387	1.3716
2015-09-29	1.388	1.3493
2015-09-30	1.389	1.3577
2015-10-08	1.39	1.3908
2015-10-09	1.391	1.4061
2015-10-12	1.391	1.4455
2015-10-13	1.392	1.4462
2015-10-14	1.393	1.4325
2015-10-15	1.393	1.4616
2015-10-16	1.394	1.4791
2015-10-19	1.394	1.479
2015-10-20	1.395	1.4948
2015-10-21	1.395	1.4563
2015-10-22	1.395	1.4749
2015-10-23	1.395	1.4928
2015-10-26	1.398	1.4992
2015-10-27	1.399	1.5006
2015-10-28	1.4	1.4768
