,中欧医疗健康混合A,汇添富中证主要消费ETF,国泰纳斯达克100ETF,组合1,组合2
2020-07-20,3.029,3.0039238068060214,2.309718969555035,2.6568213881805285,2.780880925453685
2020-07-21,3.152,3.0518655917814086,2.2827868852459017,2.667326238513655,2.828884159009103
2020-07-22,3.203,3.092601840622102,2.2857142857142856,2.6891580631681937,2.860438708778796
2020-07-23,3.286,3.0969536990796893,2.230679156908665,2.663816427994177,2.871210951996118
2020-07-24,3.094,2.9762431333380897,2.210772833723653,2.5935079835308716,2.7603386556872476
2020-07-27,3.132,3.010273239637583,2.2535128805620612,2.631893060099822,2.7985953733998814
2020-07-28,3.138,3.104658628807876,2.219555035128806,2.662106831968341,2.8207378879788934
2020-07-29,3.229,3.137404580152672,2.2488290398126467,2.6931168099826595,2.8717445399884394
2020-07-30,3.227,3.1565242205892847,2.2581967213114758,2.7073604709503805,2.8805736473002534
2020-07-31,3.283,3.1668688021687954,2.2968384074941453,2.7318536048314703,2.9155690698876464
2020-08-03,3.347,3.204180637796961,2.332552693208431,2.768366665502696,2.9612444436684635
2020-08-04,3.29,3.191981165727331,2.3354800936768148,2.763730629702073,2.939153753134715
2020-08-05,3.346,3.230291788542484,2.339578454332553,2.7849351214375186,2.971956747625012
2020-08-06,3.263,3.16337304701434,2.3594847775175647,2.761428912265952,2.9286192748439683
2020-08-07,3.232,3.131625882856531,2.3319672131147544,2.7317965479856428,2.8985310319904283
2020-08-10,3.225,3.1341228508239993,2.328454332552693,2.7312885916883465,2.895859061125564
2020-08-11,3.184,3.1433973032745954,2.2868852459016393,2.7151412745881176,2.871427516392078
2020-08-12,3.088,3.0964543054861955,2.34192037470726,2.7191873400967275,2.842124893397818
2020-08-13,3.037,3.112934294071485,2.3407494145199066,2.726841854295696,2.830227902863797
2020-08-14,3.049,3.163587072840123,2.3372365339578454,2.7504118033989844,2.849941202265989
2020-08-17,3.081,3.206891631590212,2.3618266978922717,2.784359164741242,2.8832394431608277
2020-08-18,3.117,3.2449168866376543,2.3840749414519906,2.8144959140448225,2.915330609363215
2020-08-19,3.029,3.2372119569094675,2.3624121779859486,2.799812067447708,2.8762080449651384
2020-08-20,3.025,3.1772133837483056,2.3987119437939115,2.7879626637711086,2.866975109180739
2020-08-21,3.058,3.226367981736463,2.409250585480094,2.8178092836082786,2.897872855738852
2020-08-24,3.058,3.283869586930156,2.427400468384075,2.8556350276571156,2.923090018438077
2020-08-25,3.097,3.3254619390739815,2.44672131147541,2.8860916252746955,2.956394416849797
2020-08-26,3.097,3.3125490475850756,2.4953161592505855,2.9039326034178305,2.968288402278554
2020-08-27,3.147,3.3616323036313047,2.4795081967213117,2.9205702501763082,2.996046833450872
2020-08-28,3.242,3.4678604551615897,2.4935597189695553,2.9807100870655727,3.0678067247103815
2020-08-31,3.23,3.4779196689733896,2.5064402810304447,2.992179975001917,3.0714533166679447
2020-09-01,3.227,3.474923307412428,2.5403981264637006,3.007660716938064,3.080773811292043
2020-09-02,3.215,3.4880502247271172,2.562646370023419,3.025348297375268,3.0885655315835114
2020-09-03,3.203,3.465934222729543,2.4268149882903978,2.9463746055099707,3.0319164036733133
2020-09-04,3.139,3.3862452735963475,2.3975409836065573,2.8918931286014526,2.9742620857343014
2020-09-07,3.015,3.274737818363416,2.3987119437939115,2.8367248810786636,2.8961499207191093
2020-09-08,3.011,3.2330027823357352,2.2845433255269323,2.7587730539313338,2.842848702620889
2020-09-09,2.891,3.138617393165442,2.3524590163934427,2.745538204779442,2.7940254698529614
2020-09-10,2.896,3.1617321823500038,2.300936768149883,2.7313344752499433,2.786222983499962
2020-09-11,2.941,3.205821502461297,2.28864168618267,2.7472315943219834,2.811821062881322
2020-09-14,2.905,3.2149532710280377,2.326697892271663,2.7708255816498504,2.815550387766567
2020-09-15,2.944,3.233716201755012,2.35480093676815,2.794258569261581,2.8441723795077207
2020-09-16,2.881,3.1818506099736035,2.3021077283372366,2.74197916915542,2.788319446103613
2020-09-17,2.837,3.1200684882642507,2.2628805620608903,2.6914745251625707,2.7399830167750467
2020-09-18,2.871,3.1708639509167442,2.230679156908665,2.7007715539127046,2.7575143692751363
2020-09-21,2.848,3.1276307341085827,2.2394613583138177,2.6835460462112,2.7383640308074666
2020-09-22,2.86,3.103659841620889,2.2903981264637,2.6970289840422943,2.751352656028196
2020-09-23,2.968,3.111150745523293,2.221896955503513,2.666523850513403,2.7670159003422685
2020-09-24,2.932,3.059213811799957,2.2365339578454333,2.6478738848226953,2.742582589881797
2020-09-25,2.958,3.071413283869587,2.291569086651054,2.6814911852603203,2.7736607901735466
2020-09-28,2.911,3.0796176071912678,2.339578454332553,2.70959803076191,2.77673202050794
2020-09-29,2.935,3.1009488478276377,2.328454332552693,2.7147015901901654,2.78813439346011
2020-09-30,2.987,3.110865377755583,2.345433255269321,2.728149316512452,2.814432877674968
2020-10-09,3.067,3.1722907897552974,2.396955503512881,2.784623146634089,2.878748764422726
2020-10-12,3.176,3.3039166726118285,2.4473067915690865,2.8756117320904577,2.975741154726972
2020-10-13,3.224,3.336876649782407,2.451990632318501,2.894433641050454,3.004289094033636
2020-10-14,3.222,3.31026610544339,2.4385245901639343,2.874395347803662,2.990263565202441
2020-10-15,3.192,3.281229935078833,2.4174473067915687,2.849338620935201,2.963559080623467
2020-10-16,3.201,3.254904758507527,2.4057377049180326,2.8303212317127797,2.953880821141853
2020-10-19,3.126,3.2075337090675613,2.350702576112412,2.7791181425899865,2.8947454283933243
2020-10-20,3.165,3.281229935078833,2.356557377049181,2.8188936560640068,2.9342624373760042
2020-10-21,3.161,3.2756652636084755,2.3489461358313815,2.8123056997199285,2.9285371331466186
2020-10-22,3.121,3.2769494185631736,2.3401639344262293,2.8085566764947014,2.9127044509964675
2020-10-23,3.006,3.194335449810944,2.351288056206089,2.772811753008517,2.8505411686723443
2020-10-26,3.032,3.17221944781337,2.3144028103044496,2.7433111290589096,2.8395407527059398
2020-10-27,3.136,3.1949775272882928,2.342505854800937,2.7687416910446148,2.8911611273630764
2020-10-28,3.156,3.2591139330812586,2.256440281030445,2.757777107055852,2.890518071370568
2020-10-29,3.22,3.328957694228437,2.300936768149883,2.81494723118916,2.949964820792773
2020-10-30,3.168,3.223656987943212,2.240046838407494,2.731851913175353,2.8772346087835685
2020-11-02,3.17,3.2287936077620034,2.2394613583138177,2.7341274830379105,2.8794183220252734
2020-11-03,3.193,3.2643932367839055,2.27576112412178,2.7700771804528426,2.9110514536352285
2020-11-04,3.219,3.2729542698152243,2.36943793911007,2.821196104462647,2.953797402975098
2020-11-05,3.215,3.32824427480916,2.4350117096018735,2.881627992205517,2.992751994803678
2020-11-06,3.144,3.2930726974388245,2.4162763466042154,2.85467452202152,2.9511163480143465
