date,sharesNewAccount,close
2009-07-09,409814,3088.37
2009-06-26,455979,2928.21
2009-06-19,337531,2880.49
2009-06-12,330359,2743.76
2009-06-09,317509,2753.89
2009-05-27,176617,2632.93
2009-05-22,303588,2597.6
2009-05-15,304862,2645.26
2009-05-09,296972,2625.65
2009-04-30,225082,2477.57
2009-04-24,338719,2448.59
2009-04-17,364755,2503.94
2009-04-10,239132,2444.23
2009-04-09,361501,2419.78
2009-03-27,383195,2374.44
2009-03-20,291645,2281.09
2009-03-13,277168,2128.85
2009-03-09,313938,2193.01
2009-02-27,392017,2082.85
2009-02-20,484510,2261.48
2009-02-13,427460,2320.79
2009-02-09,223859,2181.24
2009-01-23,110399,1990.66
2009-01-16,110804,1954.44
2009-01-09,102975,1904.86
2008-12-31,84797,1820.81
2008-12-26,167016,1851.52
2008-12-19,200656,2018.46
2008-12-12,256537,1954.21
2008-12-09,201941,2018.66
2008-11-28,231026,1871.16
2008-11-21,342183,1969.39
2008-11-14,261846,1986.44
2008-11-09,168979,1747.71
2008-10-31,195959,1728.79
2008-10-24,161994,1839.62
2008-10-17,164949,1930.65
2008-10-10,172245,2000.57
2008-09-26,366378,2293.78
2008-09-19,184933,2075.09
2008-09-12,157516,2079.67
2008-09-09,152721,2202.45
2008-08-29,192645,2397.37
2008-08-22,181434,2405.23
2008-08-15,151125,2450.61
2008-08-09,182487,2801.82
2008-08-09,149779,2605.72
2008-07-25,195066,2865.1
2008-07-18,190540,2778.37
2008-07-11,239334,2856.63
2008-07-09,214065,2669.89
2008-06-27,300961,2748.43
2008-06-20,265331,2831.74
2008-06-13,162438,2868.8
2008-06-09,178366,3329.67
2008-05-30,216733,3433.35
2008-05-23,217494,3473.09
2008-05-16,266333,3624.23
2008-05-09,355235,3613.49
2008-04-30,269424,3693.11
2008-04-25,424196,3557.75
2008-04-18,265732,3094.67
2008-04-11,373190,3492.89
2008-04-09,297825,3446.24
2008-03-28,458160,3580.15
2008-03-21,454107,3796.58
2008-03-14,402137,3962.67
2008-03-09,450268,4300.52
2008-02-29,436448,4348.54
